CD8_Epitopes,FS20,,,,CD8_Epitopes,FS21,,,,CD8_Epitopes,FS22,,,,CD8_Epitopes,Bang,,,,CD8_Epitopes,FSGT,,,,,CD8_Epitopes,FSSP,,,,CD8_Epitopes,VacRan,,,,CD8_Epitopes,VacSP,,,
Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value,Query,Subject,Percent Identity,Query Coverage,E-value
11693,lcl|OR863389.1_prot_WPS90613.1_82,75,89,3.60e-01,11693,lcl|OR393175.1_prot_WNV32782.1_82,75,89,3.60e-01,11693,lcl|OR393169.1_prot_WNV31888.1_82,75,89,3.60e-01,11693,lcl|OP688129.1_prot_UZP80098.1_83,75,89,3.60e-01,11693,lcl|MN072620.1_prot_QEJ78782.1_79,1,75,89,3.40e-01,11857,lcl|MW167070.1_prot_QQG63025.1_76,88.89,100,6.00e-03,10477,lcl|OK422494.1_prot_UJQ44476.1_103,87.5,89,1.60e-01,11857,lcl|MT137384.1_prot_QRU95166.1_75,88.89,100,6.00e-03
11857,lcl|OR863389.1_prot_WPS90609.1_78,88.89,100,6.00e-03,11857,lcl|OR393175.1_prot_WNV32778.1_78,88.89,100,6.00e-03,11857,lcl|OR393169.1_prot_WNV31884.1_78,88.89,100,6.00e-03,11857,lcl|OP688129.1_prot_UZP80094.1_79,88.89,100,6.00e-03,11857,lcl|MN072620.1_prot_QEJ78778.1_75,1,88.89,100,6.00e-03,14895,lcl|MW167070.1_prot_QQG63038.1_89,100,100,1.90e-02,11693,lcl|OK422494.1_prot_UJQ44458.1_85,75,89,3.30e-01,14895,lcl|MT137384.1_prot_QRU95179.1_88,100,100,1.90e-02
14895,lcl|OR863389.1_prot_WPS90622.1_91,100,100,1.90e-02,14895,lcl|OR393175.1_prot_WNV32791.1_91,100,100,1.90e-02,14895,lcl|OR393169.1_prot_WNV31897.1_91,100,100,1.90e-02,14895,lcl|OP688129.1_prot_UZP80107.1_92,100,100,2.00e-02,14895,lcl|MN072620.1_prot_QEJ78791.1_88,1,100,100,2.00e-02,15192,lcl|MW167070.1_prot_QQG63017.1_68,71.43,78,3.50e+00,11857,lcl|OK422494.1_prot_UJQ44454.1_81,88.89,100,6.00e-03,15192,lcl|MT137384.1_prot_QRU95158.1_67,71.43,78,3.50e+00
15192,lcl|OR863389.1_prot_WPS90601.1_70,71.43,78,3.50e+00,15192,lcl|OR393175.1_prot_WNV32770.1_70,71.43,78,3.50e+00,15192,lcl|OR393169.1_prot_WNV31876.1_70,71.43,78,3.50e+00,15192,lcl|OP688129.1_prot_UZP80086.1_71,71.43,78,3.60e+00,15192,lcl|MN072620.1_prot_QEJ78770.1_67,1,71.43,78,3.40e+00,15967,lcl|MW167070.1_prot_QQG63030.1_81,71.43,70,7.30e-01,14895,lcl|OK422494.1_prot_UJQ44467.1_94,100,100,1.80e-02,15967,lcl|MT137384.1_prot_QRU95171.1_80,71.43,70,7.30e-01
15967,lcl|OR863389.1_prot_WPS90614.1_83,71.43,70,7.30e-01,15967,lcl|OR393175.1_prot_WNV32783.1_83,71.43,70,7.30e-01,15967,lcl|OR393169.1_prot_WNV31889.1_83,71.43,70,7.30e-01,15967,lcl|OP688129.1_prot_UZP80099.1_84,71.43,70,7.40e-01,15967,lcl|MN072620.1_prot_QEJ78783.1_80,1,71.43,70,7.10e-01,16625,lcl|MW167070.1_prot_QQG63034.1_85,71.43,70,2.60e+00,15192,lcl|OK422494.1_prot_UJQ44446.1_73,71.43,78,3.30e+00,16625,lcl|MT137384.1_prot_QRU95175.1_84,71.43,70,2.60e+00
16625,lcl|OR863389.1_prot_WPS90618.1_87,71.43,70,2.40e+00,16625,lcl|OR393175.1_prot_WNV32787.1_87,71.43,70,2.40e+00,16625,lcl|OR393169.1_prot_WNV31893.1_87,71.43,70,2.40e+00,16625,lcl|OP688129.1_prot_UZP80103.1_88,71.43,70,2.50e+00,16625,lcl|MN072620.1_prot_QEJ78787.1_84,1,71.43,70,2.40e+00,16650,lcl|MW167070.1_prot_QQG62978.1_29,100,100,7.60e-02,15967,lcl|OK422494.1_prot_UJQ44459.1_86,71.43,70,6.80e-01,16650,lcl|MT137384.1_prot_QRU95119.1_28,100,100,7.60e-02
16650,lcl|OR863389.1_prot_WPS90562.1_31,100,100,7.70e-02,16650,lcl|OR393175.1_prot_WNV32731.1_31,100,100,7.70e-02,16650,lcl|OR393169.1_prot_WNV31837.1_31,100,100,7.70e-02,16650,lcl|OP688129.1_prot_UZP80047.1_32,100,100,7.80e-02,16650,lcl|MN072620.1_prot_QEJ78731.1_28,1,100,100,7.60e-02,16742,lcl|MW167070.1_prot_QQG63055.1_106,77.78,90,3.50e+00,16625,lcl|OK422494.1_prot_UJQ44463.1_90,71.43,70,2.30e+00,16742,lcl|MT137384.1_prot_QRU95196.1_105,77.78,90,3.50e+00
16741,lcl|OR863389.1_prot_WPS90639.1_108,75,89,5.70e+00,16741,lcl|OR393175.1_prot_WNV32808.1_108,75,89,5.70e+00,16741,lcl|OR393169.1_prot_WNV31914.1_108,75,89,5.70e+00,16741,lcl|OP688129.1_prot_UZP80124.1_109,75,89,5.80e+00,16741,lcl|MN072620.1_prot_QEJ78808.1_105,1,75,89,9.20e+00,16781,lcl|MW167070.1_prot_QQG62985.1_36,77.78,100,2.50e-02,16650,lcl|OK422494.1_prot_UJQ44406.1_33,100,100,7.20e-02,16781,lcl|MT137384.1_prot_QRU95126.1_35,77.78,100,2.50e-02
16742,lcl|OR863389.1_prot_WPS90639.1_108,77.78,90,1.60e+00,16742,lcl|OR393175.1_prot_WNV32808.1_108,77.78,90,1.60e+00,16742,lcl|OR393169.1_prot_WNV31914.1_108,77.78,90,1.60e+00,16742,lcl|OP688129.1_prot_UZP80124.1_109,77.78,90,1.60e+00,16742,lcl|MN072620.1_prot_QEJ78808.1_105,1,77.78,90,3.20e+00,16807,lcl|MW167070.1_prot_QQG63044.1_95,80,100,2.70e-02,16741,lcl|OK422494.1_prot_UJQ44483.1_110,75,89,5.40e+00,16807,lcl|MT137384.1_prot_QRU95185.1_94,80,100,2.70e-02
16781,lcl|OR863389.1_prot_WPS90569.1_38,77.78,100,2.60e-02,16781,lcl|OR393175.1_prot_WNV32738.1_38,77.78,100,2.60e-02,16781,lcl|OR393169.1_prot_WNV31844.1_38,77.78,100,2.60e-02,16781,lcl|OP688129.1_prot_UZP80054.1_39,77.78,100,2.60e-02,16781,lcl|MN072620.1_prot_QEJ78738.1_35,1,88.89,100,1.80e-02,16950,lcl|MW167070.1_prot_QQG63044.1_95,77.78,100,3.30e-01,16742,lcl|OK422494.1_prot_UJQ44483.1_110,77.78,90,1.50e+00,16950,lcl|MT137384.1_prot_QRU95185.1_94,77.78,100,3.30e-01
16807,lcl|OR863389.1_prot_WPS90628.1_97,80,100,2.80e-02,16807,lcl|OR393175.1_prot_WNV32797.1_97,80,100,2.80e-02,16807,lcl|OR393169.1_prot_WNV31903.1_97,80,100,2.80e-02,16807,lcl|OP688129.1_prot_UZP80113.1_98,80,100,2.90e-02,16807,lcl|MN072620.1_prot_QEJ78797.1_94,1,80,100,2.90e-02,17390,lcl|MW167070.1_prot_QQG63009.1_60,77.78,100,7.80e-02,16781,lcl|OK422494.1_prot_UJQ44414.1_41,77.78,100,2.40e-02,17390,lcl|MT137384.1_prot_QRU95150.1_59,77.78,100,7.80e-02
16950,lcl|OR863389.1_prot_WPS90628.1_97,77.78,100,3.40e-01,16950,lcl|OR393175.1_prot_WNV32797.1_97,77.78,100,3.40e-01,16950,lcl|OR393169.1_prot_WNV31903.1_97,77.78,100,3.40e-01,16950,lcl|OP688129.1_prot_UZP80113.1_98,77.78,100,3.40e-01,16950,lcl|MN072620.1_prot_QEJ78797.1_94,1,77.78,100,3.20e-01,17415,lcl|MW167070.1_prot_QQG62985.1_36,77.78,100,4.60e-02,16807,lcl|OK422494.1_prot_UJQ44473.1_100,80,100,2.70e-02,17415,lcl|MT137384.1_prot_QRU95126.1_35,77.78,100,4.60e-02
17390,lcl|OR863389.1_prot_WPS90593.1_62,77.78,100,8.50e-02,17390,lcl|OR393175.1_prot_WNV32762.1_62,77.78,100,8.50e-02,17390,lcl|OR393169.1_prot_WNV31868.1_62,77.78,100,8.50e-02,17390,lcl|OP688129.1_prot_UZP80078.1_63,77.78,100,8.70e-02,17390,lcl|MN072620.1_prot_QEJ78762.1_59,1,77.78,100,9.70e-02,17451,lcl|MW167070.1_prot_QQG62985.1_36,77.78,100,4.00e-02,16950,lcl|OK422494.1_prot_UJQ44473.1_100,77.78,100,3.20e-01,17451,lcl|MT137384.1_prot_QRU95126.1_35,77.78,100,4.00e-02
17415,lcl|OR863389.1_prot_WPS90569.1_38,77.78,100,4.60e-02,17415,lcl|OR393175.1_prot_WNV32738.1_38,77.78,100,4.60e-02,17415,lcl|OR393169.1_prot_WNV31844.1_38,77.78,100,4.60e-02,17415,lcl|OP688129.1_prot_UZP80054.1_39,77.78,100,4.70e-02,17415,lcl|MN072620.1_prot_QEJ78738.1_35,1,77.78,100,4.60e-02,17526,lcl|MW167070.1_prot_QQG62975.1_26,88.89,100,2.90e-02,17390,lcl|OK422494.1_prot_UJQ44439.1_66,77.78,100,8.00e-02,17526,lcl|MT137384.1_prot_QRU95116.1_25,88.89,100,2.90e-02
17451,lcl|OR863389.1_prot_WPS90569.1_38,77.78,100,4.00e-02,17451,lcl|OR393175.1_prot_WNV32738.1_38,77.78,100,4.00e-02,17451,lcl|OR393169.1_prot_WNV31844.1_38,77.78,100,4.00e-02,17451,lcl|OP688129.1_prot_UZP80054.1_39,77.78,100,4.00e-02,17451,lcl|MN072620.1_prot_QEJ78738.1_35,1,77.78,100,4.20e-02,17971,lcl|MW167070.1_prot_QQG63025.1_76,71.43,78,8.60e-01,17415,lcl|OK422494.1_prot_UJQ44414.1_41,77.78,100,4.30e-02,17971,lcl|MT137384.1_prot_QRU95166.1_75,71.43,78,8.60e-01
17526,lcl|OR863389.1_prot_WPS90559.1_28,88.89,100,2.90e-02,17526,lcl|OR393175.1_prot_WNV32728.1_28,88.89,100,2.90e-02,17526,lcl|OR393169.1_prot_WNV31834.1_28,88.89,100,2.90e-02,17526,lcl|OP688129.1_prot_UZP80044.1_29,88.89,100,3.00e-02,17526,lcl|MN072620.1_prot_QEJ78728.1_25,1,88.89,100,2.90e-02,18003,lcl|MW167070.1_prot_QQG62985.1_36,77.78,100,1.60e-01,17451,lcl|OK422494.1_prot_UJQ44414.1_41,77.78,100,3.70e-02,18003,lcl|MT137384.1_prot_QRU95126.1_35,77.78,100,1.60e-01
17971,lcl|OR863389.1_prot_WPS90609.1_78,71.43,78,8.90e-01,17971,lcl|OR393175.1_prot_WNV32778.1_78,71.43,78,8.90e-01,17971,lcl|OR393169.1_prot_WNV31884.1_78,71.43,78,8.90e-01,17971,lcl|OP688129.1_prot_UZP80094.1_79,71.43,78,9.00e-01,17971,lcl|MN072620.1_prot_QEJ78778.1_75,1,71.43,78,8.80e-01,18340,lcl|MW167070.1_prot_QQG62984.1_35,100,100,5.58e-04,17526,lcl|OK422494.1_prot_UJQ44403.1_30,88.89,100,2.80e-02,18340,lcl|MT137384.1_prot_QRU95125.1_34,100,100,5.57e-04
18003,lcl|OR863389.1_prot_WPS90569.1_38,77.78,100,1.60e-01,18003,lcl|OR393175.1_prot_WNV32738.1_38,77.78,100,1.60e-01,18003,lcl|OR393169.1_prot_WNV31844.1_38,77.78,100,1.60e-01,18003,lcl|OP688129.1_prot_UZP80054.1_39,77.78,100,1.70e-01,18003,lcl|MN072620.1_prot_QEJ78738.1_35,1,77.78,100,1.60e-01,21003,lcl|MW167070.1_prot_QQG62973.1_24,77.78,100,2.00e-02,17971,lcl|OK422494.1_prot_UJQ44454.1_81,71.43,78,8.30e-01,21003,lcl|MT137384.1_prot_QRU95114.1_23,77.78,100,2.00e-02
18340,lcl|OR863389.1_prot_WPS90568.1_37,100,100,5.47e-04,18340,lcl|OR393175.1_prot_WNV32737.1_37,100,100,5.47e-04,18340,lcl|OR393169.1_prot_WNV31843.1_37,100,100,5.47e-04,18340,lcl|OP688129.1_prot_UZP80053.1_38,100,100,5.56e-04,18340,lcl|MN072620.1_prot_QEJ78737.1_34,1,100,100,5.65e-04,21225,lcl|MW167070.1_prot_QQG63080.1_131,71.43,88,5.60e+00,18003,lcl|OK422494.1_prot_UJQ44414.1_41,77.78,100,1.50e-01,21225,lcl|MT137384.1_prot_QRU95221.1_130,71.43,88,5.60e+00
21003,lcl|OR863389.1_prot_WPS90558.1_27,77.78,100,2.00e-02,21003,lcl|OR393175.1_prot_WNV32727.1_27,77.78,100,2.00e-02,21003,lcl|OR393169.1_prot_WNV31833.1_27,77.78,100,2.00e-02,21003,lcl|OP688129.1_prot_UZP80043.1_28,77.78,100,2.10e-02,21003,lcl|MN072620.1_prot_QEJ78726.1_23,1,77.78,100,2.00e-02,23147,lcl|MW167070.1_prot_QQG62971.1_22,71.43,70,2.90e+00,18340,lcl|OK422494.1_prot_UJQ44413.1_40,100,100,5.12e-04,23147,lcl|MT137384.1_prot_QRU95112.1_21,71.43,70,2.90e+00
21027,lcl|OR863389.1_prot_WPS90680.1_149,71.43,78,8.60e+00,21027,lcl|OR393175.1_prot_WNV32849.1_149,71.43,78,8.60e+00,21027,lcl|OR393169.1_prot_WNV31955.1_149,71.43,78,8.60e+00,21027,lcl|OP688129.1_prot_UZP80166.1_151,71.43,78,8.70e+00,21225,lcl|MN072620.1_prot_QEJ78833.1_130,1,71.43,88,5.60e+00,24092,lcl|MW167070.1_prot_QQG63042.1_93,75,89,4.90e-01,21003,lcl|OK422494.1_prot_UJQ44401.1_28,77.78,100,1.90e-02,24092,lcl|MT137384.1_prot_QRU95183.1_92,75,89,5.20e-01
21225,lcl|OR863389.1_prot_WPS90664.1_133,71.43,88,5.30e+00,21225,lcl|OR393175.1_prot_WNV32833.1_133,71.43,88,5.30e+00,21225,lcl|OR393169.1_prot_WNV31939.1_133,71.43,88,5.30e+00,21225,lcl|OP688129.1_prot_UZP80149.1_134,71.43,88,5.40e+00,23147,lcl|MN072620.1_prot_QEJ78724.1_21,1,71.43,70,2.90e+00,25322,lcl|MW167070.1_prot_QQG63048.1_99,88.89,100,5.90e-02,21225,lcl|OK422494.1_prot_UJQ44508.1_135,71.43,88,5.00e+00,25322,lcl|MT137384.1_prot_QRU95189.1_98,88.89,100,5.80e-02
23147,lcl|OR863389.1_prot_WPS90555.1_24,71.43,70,2.70e+00,23147,lcl|OR393175.1_prot_WNV32724.1_24,71.43,70,2.70e+00,23147,lcl|OR393169.1_prot_WNV31830.1_24,71.43,70,2.70e+00,23147,lcl|OP688129.1_prot_UZP80040.1_25,71.43,70,2.80e+00,24092,lcl|MN072620.1_prot_QEJ78795.1_92,1,75,89,5.00e-01,26274,lcl|MW167070.1_prot_QQG63061.1_112,87.5,89,6.10e-02,23147,lcl|OK422494.1_prot_UJQ44398.1_25,71.43,70,2.50e+00,26274,lcl|MT137384.1_prot_QRU95202.1_111,87.5,89,6.10e-02
24092,lcl|OR863389.1_prot_WPS90626.1_95,75,89,4.60e-01,24092,lcl|OR393175.1_prot_WNV32795.1_95,75,89,4.60e-01,24092,lcl|OR393169.1_prot_WNV31901.1_95,75,89,4.60e-01,24092,lcl|OP688129.1_prot_UZP80111.1_96,75,89,4.60e-01,25322,lcl|MN072620.1_prot_QEJ78801.1_98,1,88.89,100,6.20e-02,26440,lcl|MW167070.1_prot_QQG63043.1_94,100,100,3.50e-02,24092,lcl|OK422494.1_prot_UJQ44471.1_98,75,89,4.30e-01,26440,lcl|MT137384.1_prot_QRU95184.1_93,100,100,3.50e-02
25322,lcl|OR863389.1_prot_WPS90632.1_101,88.89,100,6.90e-02,25322,lcl|OR393175.1_prot_WNV32801.1_101,88.89,100,6.90e-02,25322,lcl|OR393169.1_prot_WNV31907.1_101,88.89,100,6.90e-02,25322,lcl|OP688129.1_prot_UZP80117.1_102,88.89,100,7.10e-02,26274,lcl|MN072620.1_prot_QEJ78814.1_111,1,87.5,89,6.10e-02,26693,lcl|MW167070.1_prot_QQG63055.1_106,87.5,89,9.80e+00,25322,lcl|OK422494.1_prot_UJQ44477.1_104,88.89,100,6.50e-02,26693,lcl|MT137384.1_prot_QRU95196.1_105,87.5,89,9.80e+00
26274,lcl|OR863389.1_prot_WPS90645.1_114,87.5,89,6.10e-02,26274,lcl|OR393175.1_prot_WNV32814.1_114,87.5,89,6.10e-02,26274,lcl|OR393169.1_prot_WNV31920.1_114,87.5,89,6.10e-02,26274,lcl|OP688129.1_prot_UZP80130.1_115,87.5,89,6.30e-02,26440,lcl|MN072620.1_prot_QEJ78796.1_93,1,100,100,3.40e-02,27311,lcl|MW167070.1_prot_QQG63051.1_102,85.71,78,3.60e-01,26274,lcl|OK422494.1_prot_UJQ44489.1_116,87.5,89,5.80e-02,27311,lcl|MT137384.1_prot_QRU95192.1_101,85.71,78,3.60e-01
26440,lcl|OR863389.1_prot_WPS90627.1_96,100,100,3.50e-02,26440,lcl|OR393175.1_prot_WNV32796.1_96,100,100,3.50e-02,26440,lcl|OR393169.1_prot_WNV31902.1_96,100,100,3.50e-02,26440,lcl|OP688129.1_prot_UZP80112.1_97,100,100,3.50e-02,26693,lcl|MN072620.1_prot_QEJ78808.1_105,1,87.5,89,8.60e+00,27314,lcl|MW167070.1_prot_QQG63043.1_94,100,100,2.40e-02,26440,lcl|OK422494.1_prot_UJQ44472.1_99,100,100,3.30e-02,27314,lcl|MT137384.1_prot_QRU95184.1_93,100,100,2.40e-02
26693,lcl|OR863389.1_prot_WPS90639.1_108,87.5,89,8.30e+00,26693,lcl|OR393175.1_prot_WNV32808.1_108,87.5,89,8.30e+00,26693,lcl|OR393169.1_prot_WNV31914.1_108,87.5,89,8.30e+00,26693,lcl|OP688129.1_prot_UZP80124.1_109,87.5,89,8.40e+00,27311,lcl|MN072620.1_prot_QEJ78804.1_101,1,85.71,78,3.60e-01,27341,lcl|MW167070.1_prot_QQG63003.1_54,88.89,100,6.70e-02,26693,lcl|OK422494.1_prot_UJQ44483.1_110,87.5,89,7.70e+00,27341,lcl|MT137384.1_prot_QRU95144.1_53,88.89,100,6.70e-02
27311,lcl|OR863389.1_prot_WPS90635.1_104,85.71,78,3.70e-01,27311,lcl|OR393175.1_prot_WNV32804.1_104,85.71,78,3.70e-01,27311,lcl|OR393169.1_prot_WNV31910.1_104,85.71,78,3.70e-01,27311,lcl|OP688129.1_prot_UZP80120.1_105,85.71,78,3.70e-01,27314,lcl|MN072620.1_prot_QEJ78796.1_93,1,100,100,2.30e-02,27519,lcl|MW167070.1_prot_QQG63084.1_135,71.43,70,5.40e+00,27311,lcl|OK422494.1_prot_UJQ44480.1_107,85.71,78,3.40e-01,27519,lcl|MT137384.1_prot_QRU95225.1_134,71.43,70,5.40e+00
27314,lcl|OR863389.1_prot_WPS90627.1_96,100,100,2.40e-02,27314,lcl|OR393175.1_prot_WNV32796.1_96,100,100,2.40e-02,27314,lcl|OR393169.1_prot_WNV31902.1_96,100,100,2.40e-02,27314,lcl|OP688129.1_prot_UZP80112.1_97,100,100,2.40e-02,27341,lcl|MN072620.1_prot_QEJ78756.1_53,1,88.89,100,6.80e-02,27589,lcl|MW167070.1_prot_QQG62978.1_29,90,100,7.00e-03,27314,lcl|OK422494.1_prot_UJQ44472.1_99,100,100,2.20e-02,27589,lcl|MT137384.1_prot_QRU95119.1_28,90,100,7.00e-03
27341,lcl|OR863389.1_prot_WPS90587.1_56,88.89,100,6.80e-02,27341,lcl|OR393175.1_prot_WNV32756.1_56,88.89,100,6.60e-02,27341,lcl|OR393169.1_prot_WNV31862.1_56,88.89,100,6.80e-02,27341,lcl|OP688129.1_prot_UZP80072.1_57,88.89,100,6.90e-02,27519,lcl|MN072620.1_prot_QEJ78838.1_135,1,71.43,70,5.70e+00,27630,lcl|MW167070.1_prot_QQG63017.1_68,100,100,1.10e-02,27341,lcl|OK422494.1_prot_UJQ44433.1_60,88.89,100,6.30e-02,27630,lcl|MT137384.1_prot_QRU95158.1_67,100,100,1.10e-02
